nEvt,trueE,nPi0,nPiCh,nShowers,maxShowerLength,maxOpenAngle,nTracks,maxTrackLength,nStubs
5,1.84156,1,1,2,68.0703,0.253924,2,80.5049,2
6,0.825109,2,0,3,13.6279,0.220111,3,60.2337,6
7,2.72125,0,1,0,0,0,6,148.769,7
8,0.915706,0,1,1,15.722,0.0877728,1,67.0828,0
9,3.66309,0,1,1,3.59937,0.490823,2,153.708,0
10,2.68496,0,2,5,100.959,0.337268,1,166.519,5
11,3.44154,0,2,1,2.20359,0.310756,5,133.076,3
12,0.854008,1,0,3,41.4711,0.193455,2,101.299,2
13,1.53836,0,2,0,0,0,3,77.524,2
14,2.18261,0,1,3,44.4735,0.7401,3,213.84,4
15,1.15213,1,0,1,56.2634,0.0641754,1,103.543,4
16,0.894589,1,1,2,17.6551,0.202824,3,53.0426,2
17,1.53077,1,0,3,83.2614,0.539806,1,39.6491,2
18,1.62968,1,2,3,29.0569,0.34765,1,41.1821,5
19,1.93415,1,1,3,47.6042,0.226477,2,160.201,6
20,0.805862,0,1,1,8.32447,0.109265,2,145.564,3
21,1.88689,0,2,1,78.6511,0.262163,3,15.028,1
22,0.901663,0,1,1,24.6505,0.0596213,2,108.852,0
23,4.07824,0,1,1,24.0908,0.403209,5,207.267,7
24,0.837454,0,0,1,1.7303,0.225031,1,194.435,2
25,3.03677,1,1,1,3.80201,0.421671,1,8.89735,7
26,1.8391,0,2,1,33.3248,0.20978,5,111.698,6
27,1.1681,0,1,0,0,0,3,121.305,2
28,2.17259,0,1,0,0,0,3,144.845,0
29,1.23646,2,0,3,13.2164,0.192351,2,289.453,1
30,1.4284,0,1,2,7.73244,0.355483,2,54.3425,1
31,3.02485,1,4,3,32.5285,0.23006,6,157.92,7
32,3.09167,1,1,3,85.3774,0.292484,2,285.032,3
33,1.2928,0,0,0,0,0,2,220.915,0
34,2.73878,0,1,1,28.1023,0.0634463,6,201.706,4
35,0.620819,0,1,2,6.58683,0.321903,0,0,3
36,4.08759,1,1,2,34.317,0.275773,2,43.1989,2
37,1.96008,1,1,3,78.285,0.235497,2,316.972,4
38,3.02404,1,0,1,5.4965,0.111154,3,49.0634,5
39,2.94191,0,2,5,62.4381,0.383651,3,42.5197,5
40,1.42503,1,1,1,11.8926,0.0695402,4,212.237,2
41,1.41183,0,0,0,0,0,4,59.0206,5
42,1.90208,1,0,2,14.4767,0.340738,3,281.701,1
43,1.14538,0,2,1,12.7544,0.0738085,3,47.4392,9
44,1.87792,1,2,3,84.9477,0.199666,3,145.837,5
45,1.14961,0,1,2,13.1156,0.251376,2,38.3568,1
46,1.48804,1,1,4,71.9275,0.216693,2,95.8541,6
47,1.47256,0,2,2,3.12019,0.527627,2,250.026,5
48,1.938,0,1,1,10.232,0.322554,4,168.1,3
49,4.78744,0,0,4,51.4397,0.226728,6,264.37,9
50,2.11938,0,2,1,15.6884,0.10751,4,432.753,1
51,1.41455,0,2,0,0,0,4,164.164,6
52,5.06181,1,1,3,54.3717,0.983403,8,58.9932,9
53,4.2903,4,2,9,75.9578,0.710901,6,182.972,8
54,2.88025,0,1,1,4.54532,0.089991,3,28.2019,6
55,4.16456,3,1,1,55.5775,0.128817,5,250.358,1
56,0.961945,1,0,2,7.78274,0.633757,1,140.829,0
57,1.9479,1,1,3,78.1689,0.299156,0,0,1
58,1.53796,1,1,2,16.9297,0.501531,3,35.9896,2
59,1.59887,1,1,3,46.0052,0.175467,2,189.311,1
60,4.31547,1,1,4,133.882,0.318668,2,104.621,3
61,1.76282,1,0,2,68.8906,0.121097,4,169.002,2
62,2.11711,0,1,1,6.93033,0.138237,2,415.526,4
63,2.03307,0,2,1,10.3104,0.441103,4,320.467,4
64,1.26235,0,1,1,7.03341,0.344082,3,138.501,5
65,0.911873,1,0,2,12.312,0.291038,2,95.8784,1
66,4.06409,1,2,2,79.3404,0.134534,4,456.145,3
67,2.25536,0,2,0,0,0,5,262.229,2
68,0.764118,1,0,3,38.4115,0.32166,2,29.474,2
69,1.75831,0,0,0,0,0,4,55.3762,6
70,1.71979,0,2,1,10.7647,0.0537917,3,187.059,2
71,1.62901,2,1,3,93.1361,0.405742,1,51.884,3
72,2.87564,0,2,5,104.575,0.386442,3,149.555,1
73,1.67016,0,2,1,4.42835,0.138141,2,96.8006,2
74,2.93621,1,0,2,99.7007,0.262419,3,169.324,3
75,1.89361,0,2,2,14.4176,1.0295,2,101.585,5
76,0.793357,0,1,2,8.62254,0.437234,2,96.9594,4
77,1.4117,1,0,2,122.661,0.127309,1,57.9253,2
78,0.612178,0,0,0,0,0,2,87.7037,4
79,1.25691,0,1,0,0,0,2,48.5347,1
80,1.17282,0,0,0,0,0,2,13.3974,1
81,1.73094,0,1,0,0,0,4,120.306,3
82,2.6736,0,2,0,0,0,3,311.542,4
